company,date,score,explanation
AAPL,2025-07-16,30.22188047764303,"Score: 30.2. Price impact: 5.2, Volatility impact: 20.0, GDP impact: 0.0, Unemployment impact: 0.0, Sentiment impact: 5.0"
AMZN,2025-07-16,30.823871780775413,"Score: 30.8. Price impact: 5.8, Volatility impact: 20.0, GDP impact: 0.0, Unemployment impact: 0.0, Sentiment impact: 5.0"
WMT,2025-07-16,25.00452628683657,"Score: 25.0. Price impact: 0.0, Volatility impact: 20.0, GDP impact: 0.0, Unemployment impact: 0.0, Sentiment impact: 5.0"
MSFT,2025-07-16,43.63796566045053,"Score: 43.6. Price impact: 18.6, Volatility impact: 20.0, GDP impact: 0.0, Unemployment impact: 0.0, Sentiment impact: 5.0"
TSLA,2025-07-16,35.29199534688298,"Score: 35.3. Price impact: 10.3, Volatility impact: 20.0, GDP impact: 0.0, Unemployment impact: 0.0, Sentiment impact: 5.0"
AAPL,2025-07-17,30.016809012413066,"Score: 30.0. Price impact: 5.2, Volatility impact: 19.8, GDP impact: 0.0, Unemployment impact: 0.0, Sentiment impact: 5.0"
AMZN,2025-07-17,27.268096087709857,"Score: 27.3. Price impact: 5.9, Volatility impact: 16.4, GDP impact: 0.0, Unemployment impact: 0.0, Sentiment impact: 5.0"
WMT,2025-07-17,24.813679704911472,"Score: 24.8. Price impact: 0.0, Volatility impact: 19.8, GDP impact: 0.0, Unemployment impact: 0.0, Sentiment impact: 5.0"
TSLA,2025-07-17,34.267232362100025,"Score: 34.3. Price impact: 10.2, Volatility impact: 19.1, GDP impact: 0.0, Unemployment impact: 0.0, Sentiment impact: 5.0"
MSFT,2025-07-17,41.81797010408894,"Score: 41.8. Price impact: 18.9, Volatility impact: 17.9, GDP impact: 0.0, Unemployment impact: 0.0, Sentiment impact: 5.0"
AMZN,2025-07-18,27.566796145002805,"Score: 27.6. Price impact: 6.0, Volatility impact: 16.6, GDP impact: 0.0, Unemployment impact: 0.0, Sentiment impact: 5.0"
AAPL,2025-07-18,28.834802091229843,"Score: 28.8. Price impact: 5.3, Volatility impact: 18.6, GDP impact: 0.0, Unemployment impact: 0.0, Sentiment impact: 5.0"
WMT,2025-07-18,24.864527106054915,"Score: 24.9. Price impact: 0.0, Volatility impact: 19.9, GDP impact: 0.0, Unemployment impact: 0.0, Sentiment impact: 5.0"
MSFT,2025-07-18,35.049024538008375,"Score: 35.0. Price impact: 18.8, Volatility impact: 11.2, GDP impact: 0.0, Unemployment impact: 0.0, Sentiment impact: 5.0"
TSLA,2025-07-18,33.48248877543498,"Score: 33.5. Price impact: 10.7, Volatility impact: 17.8, GDP impact: 0.0, Unemployment impact: 0.0, Sentiment impact: 5.0"
MSFT,2025-07-21,36.238723652467385,"Score: 36.2. Price impact: 18.8, Volatility impact: 12.4, GDP impact: 0.0, Unemployment impact: 0.0, Sentiment impact: 5.0"
TSLA,2025-07-21,32.90387761374054,"Score: 32.9. Price impact: 10.6, Volatility impact: 17.3, GDP impact: 0.0, Unemployment impact: 0.0, Sentiment impact: 5.0"
WMT,2025-07-21,23.574067168601637,"Score: 23.6. Price impact: 0.0, Volatility impact: 18.5, GDP impact: 0.0, Unemployment impact: 0.0, Sentiment impact: 5.0"
AAPL,2025-07-21,28.81527587896252,"Score: 28.8. Price impact: 5.3, Volatility impact: 18.5, GDP impact: 0.0, Unemployment impact: 0.0, Sentiment impact: 5.0"
AMZN,2025-07-21,28.265375724713838,"Score: 28.3. Price impact: 6.1, Volatility impact: 17.2, GDP impact: 0.0, Unemployment impact: 0.0, Sentiment impact: 5.0"
TSLA,2025-07-22,29.132258768240085,"Score: 29.1. Price impact: 10.8, Volatility impact: 16.4, GDP impact: 0.0, Unemployment impact: 0.0, Sentiment impact: 2.0"
AMZN,2025-07-22,30.24059845541396,"Score: 30.2. Price impact: 6.0, Volatility impact: 16.7, GDP impact: 0.0, Unemployment impact: 0.0, Sentiment impact: 7.5"
WMT,2025-07-22,28.102291196638404,"Score: 28.1. Price impact: 0.0, Volatility impact: 18.7, GDP impact: 0.0, Unemployment impact: 0.0, Sentiment impact: 9.3"
MSFT,2025-07-22,36.95419919172647,"Score: 37.0. Price impact: 18.6, Volatility impact: 13.3, GDP impact: 0.0, Unemployment impact: 0.0, Sentiment impact: 5.0"
AAPL,2025-07-22,32.149427323684435,"Score: 32.1. Price impact: 5.4, Volatility impact: 18.2, GDP impact: 0.0, Unemployment impact: 0.0, Sentiment impact: 8.5"
MSFT,2025-07-23,37.03557399288787,"Score: 37.0. Price impact: 18.6, Volatility impact: 13.4, GDP impact: 0.0, Unemployment impact: 0.0, Sentiment impact: 5.0"
WMT,2025-07-23,27.965025898362725,"Score: 28.0. Price impact: 0.0, Volatility impact: 18.6, GDP impact: 0.0, Unemployment impact: 0.0, Sentiment impact: 9.3"
TSLA,2025-07-23,29.25984285870936,"Score: 29.3. Price impact: 10.8, Volatility impact: 16.5, GDP impact: 0.0, Unemployment impact: 0.0, Sentiment impact: 2.0"
AAPL,2025-07-23,32.01116058215345,"Score: 32.0. Price impact: 5.4, Volatility impact: 18.1, GDP impact: 0.0, Unemployment impact: 0.0, Sentiment impact: 8.5"
AMZN,2025-07-23,30.268350139742083,"Score: 30.3. Price impact: 6.1, Volatility impact: 16.7, GDP impact: 0.0, Unemployment impact: 0.0, Sentiment impact: 7.5"
AAPL,2025-07-24,31.864722318998496,"Score: 31.9. Price impact: 5.4, Volatility impact: 18.0, GDP impact: 0.0, Unemployment impact: 0.0, Sentiment impact: 8.5"
AMZN,2025-07-24,30.780184527638816,"Score: 30.8. Price impact: 6.2, Volatility impact: 17.0, GDP impact: 0.0, Unemployment impact: 0.0, Sentiment impact: 7.5"
MSFT,2025-07-24,25.5539562917182,"Score: 25.6. Price impact: 18.9, Volatility impact: 1.7, GDP impact: 0.0, Unemployment impact: 0.0, Sentiment impact: 5.0"
